venue_name,venue_type,city,state,lat,lng,operator,start_date,start_precision,end_date,end_precision,end_status,exit_mode,source,notes,extras,tenure_id,venue_id,operator_normalized,derived_from,known_through,render_end_year,render_end_basis,end_inferred_from,needs_review,review_reasons
NCH Healthcare System,other,,,,,Sodexo,2012-01-01,year,,,unknown,,"|The News Press; Fort Myers, Fla. | 2016-08-27; |Fort Myers News-Press (1931-); Fort Myers, Florida | 2016-08-27",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2012-01-01"", ""event_count"": 1}",sp-8ede7be3f5,,Sodexo,ev_9bca26df1c10411c ev_0cb9308519ad8486,2012-01-01,2012,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Neil Armstrong Elementary,other,,,,,Aramark,,,,,unknown,,"|The Times - Tribune; Scranton, Pa. | 2016-11-10; |TCA Regional News; Chicago | 2016-11-10",,"{""needs_review"": true, ""review_reasons"": [""presence only (violation) \u2014 operator was here, but no award was reported"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-11-07"", ""event_count"": 1}",sp-0d78889d61,,Aramark,ev_d9e12110a28d4aa5 ev_f6b78a138640f421,2016-11-07,2016,evidence stops here; the end is unknown,,True,"presence only (violation) — operator was here, but no award was reported; start_date unknown; venue never matched the spine — not mappable"
Northwest Missouri State University,other,,,,,Aramark,,,2017-04-03,exact,ended,lost_bid,|University Wire; Carlsbad | 2017-01-18,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-04-03"", ""event_count"": 1}",sp-9bbabb5b6f,,Aramark,ev_4e6c6c0add92e0f7,2017-04-03,2017,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Northwest Missouri State University,other,,,,,Aramark,,,2017-04-03,exact,ended,self_op_conversion,|University Wire; Carlsbad | 2017-01-18,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-04-03"", ""event_count"": 1}",sp-acb504f28c,,Aramark,ev_71ed24575f11b40f,2017-04-03,2017,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Ramsey County correctional facility,other,,,,,Minnesota,,,,,unknown,,|The Guardian (Online); London (UK) | 2016-09-30,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-c115bf1de2,,Minnesota,ev_8521b7769abe3a18,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
Rio Tinto,other,,,,,ISS,,,2016-01-01,year,ended,lost_bid,|The Australian Financial Review; Melbourne | 2016-12-03,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-01-01"", ""event_count"": 1}",sp-7cb512c57e,,ISS,ev_7f45b1ee671f005a,2016-01-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Rock and Roll Hall of Fame,other,,,,,Aramark,,,,,unknown,,|Fair Disclosure Wire; Linthicum | 2016-08-10,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-6930b3a8e3,,Aramark,ev_63e00132b530584f,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
Rutgers University – Newark,other,,,,,Aramark,,,2016-07-29,exact,ended,lost_bid,|University Wire; Carlsbad | 2016-09-27,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-29"", ""event_count"": 1}",sp-82397566f3,,Aramark,ev_eca51a03b2dca04e,2016-07-29,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Rutgers University – Newark,other,,,,,Gourmet Dining Services,2016-07-29,exact,,,unknown,,|University Wire; Carlsbad | 2016-09-27,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-29"", ""event_count"": 1}",sp-2f7d9a2860,,Gourmet Dining Services,ev_daf4cae66c260d20,2016-07-29,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Saint Leo University,other,,,,,Sodexo,,,2016-09-29,exact,ended,lost_bid,"|Tampa Bay Times (2012-); Tampa Bay, Florida | 2016-08-17",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-09-29"", ""event_count"": 1}",sp-4811e10f87,,Sodexo,ev_ffaf904ae6c2214e,2016-09-29,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
SHSU,other,,,,,"ARAMARK Educational Services of Texas, Inc.",,,,,unknown,,"|US Fed News Service, Including US State News; Washington, D.C. | 2016-08-20",,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1, ""sub_brands"": [""Aramark Educational Services""]}",sp-1b1d922502,,"ARAMARK Educational Services of Texas, Inc.",ev_79756416ee45996e,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
SMSU,other,,,,,Aramark,,,2016-07-01,month,ended,lost_bid,|University Wire; Carlsbad | 2016-09-08,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1}",sp-97484db6ef,,Aramark,ev_9237db883fc6d2ee,2016-07-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
SMSU,other,,,,,Compass,2016-07-01,month,,,unknown,,|University Wire; Carlsbad | 2016-09-08,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1, ""sub_brands"": [""Chartwells""]}",sp-84197ee2b6,,Compass,ev_6d593eeb311d29ff,2016-07-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
SMSU campus,other,,,,,Aramark,,,,,unknown,,|University Wire; Carlsbad | 2016-09-08,,"{""needs_review"": true, ""review_reasons"": [""2 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 2}",sp-e269b3b965,,Aramark,ev_f589bb1d345c1fa4 ev_7e23c8700e5c112a,,,evidence stops here; the end is unknown,,True,2 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
SMSU campus,other,,,,,Compass,,,,,unknown,,|University Wire; Carlsbad | 2016-09-08,,"{""needs_review"": true, ""review_reasons"": [""2 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 2, ""sub_brands"": [""Chartwells""]}",sp-d9cda0e85b,,Compass,ev_d43a44138dcf3ec5 ev_02610c1a3e46c43c,,,evidence stops here; the end is unknown,,True,2 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
St. Cloud State University,other,,,,,Compass,2016-07-01,exact,,,unknown,,"|St. Cloud Times (1988-); St Cloud, Minnesota | 2016-07-31",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1, ""sub_brands"": [""Chartwells""]}",sp-438156e24d,,Compass,ev_a4e419c71e0ebe9b,2016-07-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
St. Cloud State University,other,,,,,Sodexo,,,2016-07-01,exact,ended,lost_bid,"|St. Cloud Times (1988-); St Cloud, Minnesota | 2016-07-31",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1}",sp-04eaebe0a5,,Sodexo,ev_5930aa3e2caa1e8e,2016-07-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
St. Cloud State University's Garvey Commons,other,,,,,Compass,2016-07-01,exact,,,unknown,,"|St. Cloud Times; St. Cloud, Minn. | 2016-07-31; |Star Tribune (1987-); Minneapolis | 2016-08-07",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1, ""sub_brands"": [""Chartwells""]}",sp-7ed39b11fd,,Compass,ev_4c95d6079be2a7e1 ev_d02bc1ca0e176742,2016-07-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
St. Cloud State University's Garvey Commons,other,,,,,Sodexo,,,2016-07-01,exact,ended,other,|Star Tribune (1987-); Minneapolis | 2016-08-07,contract expired; no cause reported,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1}",sp-854dfd9b65,,Sodexo,ev_f793ed438714f93a,2016-07-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
St. Cloud State University's Garvey Commons,other,,,,,Sodexo,,,2016-07-01,exact,ended,lost_bid,"|St. Cloud Times; St. Cloud, Minn. | 2016-07-31",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""event_count"": 1}",sp-430cc2d251,,Sodexo,ev_17f190dcdbc956e6,2016-07-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
State of Michigan,other,,,,,Aramark,,,2005-01-01,year,ended,lost_bid,"|The Daily News-Journal (1931-); Murfreesboro, Tennessee | 2016-08-08",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2005-01-01"", ""event_count"": 1}",sp-64ad77d639,,Aramark,ev_d4fd7c63e8fe2194,2005-01-01,2005,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
state prison,other,,,,,Aramark Correctional Services,,,2015-08-01,month,ended,lost_bid,"|Lansing State Journal (1980-); Lansing, Michigan | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 1, ""sub_brands"": [""Aramark Correctional Services""]}",sp-465b90cf97,,Aramark Correctional Services,ev_747111eb2864ee0a,2015-08-01,2015,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
state prison,other,,,,,Trinity Services Group,2015-08-01,month,,,unknown,,"|Lansing State Journal (1980-); Lansing, Michigan | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 1}",sp-9be0178625,,Trinity Services Group,ev_5a68ec6e61e06c11,2015-08-01,2015,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
state prison properties,other,,,,,Aramark Correctional Services,2013-12-01,month,2015-08-01,month,ended,lost_bid,"|Lansing State Journal; Lansing, Mich. | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 2}",sp-bc7c796325,,Aramark Correctional Services,ev_0100a2ac6b81113d ev_1fc8805b011c2e80,2015-08-01,2015,reported end,,True,venue never matched the spine — not mappable
state prison properties,other,,,,,Trinity Services Group,2015-08-01,month,,,unknown,,"|Lansing State Journal; Lansing, Mich. | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 1}",sp-851e0b233f,,Trinity Services Group,ev_ca0859e280559ae9,2015-08-01,2015,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Temple,other,,,,,Aramark,2016-10-01,month,,,unknown,,|University Wire; Carlsbad | 2016-12-29; |University Wire; Carlsbad | 2016-10-25; |University Wire; Carlsbad | 2016-10-18; |Philadelphia Inquirer (1969-); Philadelphia | 2016-10-12,,"{""needs_review"": true, ""review_reasons"": [""re-awarded with no reported end to the previous run"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-07-01"", ""overlaps_with"": [""Sodexo""], ""event_count"": 2}",sp-d6e26ad663,,Aramark,ev_7540d3607e1095f3 ev_ca3c544be6203886 ev_460833386e6ebe56 ev_38f6d7840d94cbee,2017-07-01,2017,evidence stops here; the end is unknown,,True,"re-awarded with no reported end to the previous run; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Temple,other,,,,,Sodexo,,,2016-10-01,month,ended,lost_bid,|University Wire; Carlsbad | 2016-12-29,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-10-01"", ""event_count"": 1}",sp-63618ace5a,,Sodexo,ev_7984a6913c9c631d,2016-10-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Temple,other,,,,,Sodexo,,,2017-06-01,month,ended,other,|University Wire; Carlsbad | 2016-09-13,contract expired; no cause reported,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-06-01"", ""overlaps_with"": [""Aramark""], ""event_count"": 1}",sp-d73773d53b,,Sodexo,ev_bdfb6f8e95b8eba0,2017-06-01,2017,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Temple,other,,,,,Sodexo,,,2017-06-30,exact,ended,lost_bid,|University Wire; Carlsbad | 2016-10-25; |University Wire; Carlsbad | 2016-10-18; |Philadelphia Inquirer (1969-); Philadelphia | 2016-10-12,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-06-30"", ""overlaps_with"": [""Aramark""], ""event_count"": 1}",sp-7eaafd180d,,Sodexo,ev_aeaae025458e9c71 ev_03a0d8daf6924d03 ev_766ed3b5fdf35201,2017-06-30,2017,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Temple University,other,,,,,Aramark,2016-01-01,approx,,,unknown,,"|Fair Disclosure Wire; Linthicum | 2016-11-15; |MENA Report; Camden | 2016-10-14; |University Wire; Carlsbad | 2016-10-11; |University Wire; Carlsbad | 2017-01-17; |University Wire; Carlsbad | 2016-10-21; |US Fed News Service, Including US State News; Washington, D.C. | 2016-10-12; |TCA Regional News; Chicago | 2016-10-11; |Philadelphia Inquirer (1969-); Philadelphia | 2016-10-12",,"{""needs_review"": true, ""review_reasons"": [""re-awarded with no reported end to the previous run"", ""3 undated event(s) could not be placed on the timeline"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-07-01"", ""overlaps_with"": [""Sodexo""], ""event_count"": 8}",sp-3241352e3e,,Aramark,ev_6577b229781263b6 ev_b820fc3a668226b8 ev_bc749ab7924913cc ev_14dd6c82c54ef417 ev_82303a72f0ac0128 ev_63eb07056ee90224 ev_e50cf904efe27803 ev_533e8e79627058b1 ev_aa5564b526693c0a ev_d8f59974003adf6e ev_34e141aaae716a04 ev_d9fc15e40b846eb8,2017-07-01,2017,evidence stops here; the end is unknown,,True,"re-awarded with no reported end to the previous run; 3 undated event(s) could not be placed on the timeline; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Temple University,other,,,,,Sodexo,,,2016-07-01,exact,ended,lost_bid,|MENA Report; Camden | 2016-10-14,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-07-01"", ""overlaps_with"": [""Aramark""], ""event_count"": 1}",sp-6e60c2985f,,Sodexo,ev_476d0140c9de2f23,2016-07-01,2016,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Temple University,other,,,,,Sodexo,,,2017-05-13,exact,ended,lost_bid,|University Wire; Carlsbad | 2017-01-17,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-05-13"", ""overlaps_with"": [""Aramark""], ""event_count"": 1}",sp-362dc0ad6e,,Sodexo,ev_48562a06ad6d72c9 ev_fc526f07acd7b9b6,2017-05-13,2017,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Temple University,other,,,,,Sodexo,,,2017-07-01,exact,ended,lost_bid,"|University Wire; Carlsbad | 2016-10-21; |University Wire; Carlsbad | 2016-10-11; |TCA Regional News; Chicago | 2016-10-11; |Philadelphia Inquirer (1969-); Philadelphia | 2016-10-12; |Philadelphia Inquirer; Philadelphia, Pa. | 2016-11-01",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""2 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-07-01"", ""overlaps_with"": [""Aramark""], ""event_count"": 3, ""sub_brands"": [""SodexoMagic""]}",sp-b40c9cc1ae,,Sodexo,ev_cec500d8fc1a792d ev_ec60d67dd3be98e5 ev_031fc2394d4f02ae ev_215149db3418951e ev_7beff567a0cffbea ev_a5eefc7e95315fce,2017-07-01,2017,reported end,,True,"run ends with no award ever reported — start unknown; 2 undated event(s) could not be placed on the timeline; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Tennessee Department of Correction,other,,,,,Aramark,2016-10-01,exact,,,unknown,,"|The Daily News Journal; Murfreesboro, Tenn. | 2016-08-08; |The Tennessean; Nashville, Tenn. | 2016-08-08; |News Sentinel; Knoxville, Tenn. | 2016-08-05; |The Leaf-Chronicle (1979-); Clarksville, Tennessee | 2016-08-08; |The Daily News-Journal (1931-); Murfreesboro, Tennessee | 2016-08-08; |The Tennessean (1972-); Nashville | 2016-08-08",,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-10-01"", ""event_count"": 2}",sp-8bbe3b87a8,,Aramark,ev_d93165ae10ec1bd6 ev_22f81347b12bfe06 ev_8745d01a1fc37af0 ev_3fa52d81a0d88e57 ev_289ba7ed2739cabe ev_5d292bc1ea22c613 ev_49f6179c09144ead,2016-10-01,2016,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; venue never matched the spine — not mappable
Tennessee Department of Correction,other,,,,,TRICOR,,,2016-10-01,exact,ended,lost_bid,"|The Daily News Journal; Murfreesboro, Tenn. | 2016-08-08; |The Tennessean; Nashville, Tenn. | 2016-08-08; |The Tennessean (1972-); Nashville | 2016-08-08",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-10-01"", ""event_count"": 1}",sp-0b7a063aca,,TRICOR,ev_535c9491784104c8 ev_874a10d680f7405a ev_e251a31037c3dd58,2016-10-01,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
the Deece,other,,,,,Aramark,,,2017-01-01,approx,ended,lost_bid,|University Wire; Carlsbad | 2016-11-30,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-01-01"", ""event_count"": 1}",sp-83d0427cad,,Aramark,ev_2e613f83a9ed12fe,2017-01-01,2017,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
the Deece,other,,,,,Compass,2017-01-01,approx,,,unknown,,|University Wire; Carlsbad | 2016-11-30,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-01-01"", ""event_count"": 1, ""sub_brands"": [""Bon App\u00e9tit""]}",sp-8d00ce937c,,Compass,ev_9f03a8a9bbee074c,2017-01-01,2017,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
the department,other,,,,,Aramark,,,,,unknown,,|The Tennessean (1972-); Nashville | 2016-08-08,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-af2aa847be,,Aramark,ev_5987a411d53dab7a,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
the department,other,,,,,TRICOR,,,,,unknown,,|The Tennessean (1972-); Nashville | 2016-08-08,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-ddc534c181,,TRICOR,ev_ada9e2f7fda170b0,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
The Perch,other,,,,,Aramark,,,2016-05-01,month,ended,lost_bid,|University Wire; Carlsbad | 2016-10-06,,"{""needs_review"": true, ""review_reasons"": [""presence only (violation) \u2014 operator was here, but no award was reported"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-05-01"", ""event_count"": 2}",sp-01159e2c55,,Aramark,ev_12b2a95adf4b2d1f ev_046e976888731612,2016-05-01,2016,reported end,,True,"presence only (violation) — operator was here, but no award was reported; start_date unknown; venue never matched the spine — not mappable"
The Perch,other,,,,,Compass,2016-05-01,month,,,unknown,,|University Wire; Carlsbad | 2016-10-06,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-05-19"", ""event_count"": 2, ""sub_brands"": [""Chartwells""]}",sp-1eec7daa4e,,Compass,ev_7a147e35d112c444 ev_be5ff4112ef162d4,2016-05-19,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
the university,other,,,,,Aramark,,,,,unknown,,|MENA Report; Camden | 2016-11-09,,"{""needs_review"": true, ""review_reasons"": [""renewal with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-11-01"", ""event_count"": 1}",sp-69033994eb,,Aramark,ev_3e9dcb397dbe5cb5,2016-11-01,2016,evidence stops here; the end is unknown,,True,renewal with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Tom Green County Jail,other,,,,,Aramark Correctional Services,,,,,unknown,,"|Standard Times; San Angelo | 2016-09-12; |Standard Times (1928-); San Angelo, Texas | 2016-09-12",,"{""needs_review"": true, ""review_reasons"": [""renewal with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-08-02"", ""event_count"": 2}",sp-c79a97a977,,Aramark Correctional Services,ev_9894fba1b01080df ev_658faf089a2d2235 ev_a493acde83f2b7cf,2016-08-02,2016,evidence stops here; the end is unknown,,True,renewal with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
U of L,other,,,,,Aramark,2016-08-01,approx,,,unknown,,|University Wire; Carlsbad | 2016-09-03; |University Wire; Carlsbad | 2016-09-08,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-08-01"", ""event_count"": 2}",sp-4e73938c79,,Aramark,ev_ee0b16f565ec83f6 ev_f57b4ea2d4198326 ev_ebcf556433c35988,2016-08-01,2016,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; venue never matched the spine — not mappable
U of L,other,,,,,Sodexo,,,,,unknown,,|University Wire; Carlsbad | 2016-09-08,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-ec7fc6bc5c,,Sodexo,ev_ed6542c6ac3411e7,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
UChicago Dining,other,,,,,Aramark,,,,,unknown,,|University Wire; Carlsbad | 2016-10-18,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-c283a0a42a,,Aramark,ev_ff26d56dfddeff9b,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
UChicago Dining,other,,,,,Compass,,,,,unknown,,|University Wire; Carlsbad | 2016-10-18,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1, ""sub_brands"": [""bon app\u00e9tit""]}",sp-030e9be7e6,,Compass,ev_924fecd73196c315,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
UK,other,,,,,Aramark,2014-01-01,year,,,unknown,,"|University Wire; Carlsbad | 2016-10-05; |Courier - Journal; Louisville, Ky. | 2016-09-21; |The Courier-Journal (1923-); Louisville | 2016-09-21",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-09-01"", ""event_count"": 2}",sp-dd0f62a573,,Aramark,ev_0662e1683034e326 ev_121321515d6dd7e1 ev_2ef8f5b5be238d64,2016-09-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
